,examine,id,members,lowalch,limit,value,highalch,icon,name
612,"Enough power for a Snare, blighted so it can be used only in the Wilderness.",24611,True,1.0,10000.0,1,1.0,Blighted snare sack.png,Blighted snare sack
613,"4 doses of super restore potion, blighted so it can be used only in the Wilderness.",24598,True,1.0,2000.0,1,1.0,Blighted super restore(4).png,Blighted super restore(4)
614,"Enough power for a Teleblock or a Teleport to Target, blighted so it can be used only in the Wilderness.",24615,True,1.0,10000.0,1,1.0,Blighted teleport spell sack.png,Blighted teleport spell sack
615,"Enough power for a Vengeance, blighted so it can be used only in the Wilderness.",24621,True,1.0,10000.0,1,1.0,Blighted vengeance sack.png,Blighted vengeance sack
616,A blood-filled essence with magical properties.,26390,True,40000.0,500.0,100000,60000.0,Blood essence.png,Blood essence
617,It's literally a pint of blood.,24774,True,1.0,2000.0,1,1.0,Blood pint.png,Blood pint
618,Used for high level missile spells.,565,True,160.0,25000.0,400,240.0,Blood rune.png,Blood rune
619,A magical shard filled with a dark power.,24777,True,1.0,8.0,1,1.0,Blood shard.png,Blood shard
620,A mysterious power emanates from the talisman...,1450,True,1.0,,1,1.0,Blood talisman.png,Blood talisman
621,A tiara infused with the properties of blood.,5549,True,1.0,,1,1.0,Blood tiara.png,Blood tiara
622,A red and black pointed snail shell helmet.,3339,True,120.0,150.0,300,180.0,Blood'n'tar snelm (pointed).png,Blood'n'tar snelm (pointed)
623,A red and black Snail shell helmet.,3329,True,120.0,150.0,300,180.0,Blood'n'tar snelm (round).png,Blood'n'tar snelm (round)
624,Keeps my chest protected.,25404,True,1.0,,1,1.0,Bloodbark body.png,Bloodbark body
625,Great foot protection.,25410,True,1.0,,1,1.0,Bloodbark boots.png,Bloodbark boots
626,Thse should protect my hands.,25407,True,1.0,,1,1.0,Bloodbark gauntlets.png,Bloodbark gauntlets
627,A rather interesting smelling helmet.,25413,True,1.0,,1,1.0,Bloodbark helm.png,Bloodbark helm
628,Strong leg protection.,25416,True,1.0,,1,1.0,Bloodbark legs.png,Bloodbark legs
629,A coagulated concoction.,22430,True,1.0,2000.0,2,1.0,Bloody bracer.png,Bloody bracer
630,Parlez-vous francais?,2633,True,32.0,4.0,80,48.0,Blue beret.png,Blue beret
631,Stylish!,7325,True,90.0,4.0,225,135.0,Blue boater.png,Blue boater
632,"They're soft, silky and blue.",630,True,80.0,150.0,200,120.0,Blue boots.png,Blue boots
633,A thick blue cape.,1021,False,12.0,150.0,32,19.0,Blue cape.png,Blue cape
634,Made from 100% real dragonhide.,2499,True,3744.0,125.0,9360,5616.0,Blue d'hide body.png,Blue d'hide body
635,Made from 100% real dragonhide. With colourful trim!,7374,True,3744.0,8.0,9360,5616.0,Blue d'hide body (g).png,Blue d'hide body (g)
636,Made from 100% real dragonhide. With colourful trim!,7376,True,3744.0,8.0,9360,5616.0,Blue d'hide body (t).png,Blue d'hide body (t)
637,Made from 100% real dragonhide.,2493,True,1728.0,125.0,4320,2592.0,Blue d'hide chaps.png,Blue d'hide chaps
638,Made from 100% real dragonhide. With colourful trim!,7382,True,1728.0,8.0,4320,2592.0,Blue d'hide chaps (g).png,Blue d'hide chaps (g)
639,Made from 100% real dragonhide. With colourful trim!,7384,True,1728.0,8.0,4320,2592.0,Blue d'hide chaps (t).png,Blue d'hide chaps (t)
640,A solid yew shield covered in blue dragon leather.,22278,True,3000.0,125.0,7500,4500.0,Blue d'hide shield.png,Blue d'hide shield
641,Vambraces made from 100% real dragonhide.,2487,True,1200.0,125.0,3000,1800.0,Blue d'hide vambraces.png,Blue d'hide vambraces
642,Paints things blue!,12757,True,1.0,4.0,1,1.0,Blue dark bow paint.png,Blue dark bow paint
643,It's a piece of prepared blue dragonhide.,2505,True,28.0,13000.0,70,42.0,Blue dragon leather.png,Blue dragon leather
644,Do I look scary?,12520,True,4000.0,4.0,10000,6000.0,Blue dragon mask.png,Blue dragon mask
645,A large shiny scale.,243,True,20.0,13000.0,50,30.0,Blue dragon scale.png,Blue dragon scale
646,The scaly rough hide from a Blue Dragon.,1751,True,56.0,13000.0,140,84.0,Blue dragonhide.png,Blue dragonhide
647,"A set containing a blue dragonhide body, chaps and vambraces.",12867,True,2000.0,125.0,5000,3000.0,Blue dragonhide set.png,Blue dragonhide set
648,A little bottle of blue dye.,1767,False,2.0,150.0,5,3.0,Blue dye.png,Blue dye
649,A well made elegant ladies' blue blouse.,10428,True,800.0,4.0,2000,1200.0,Blue elegant blouse.png,Blue elegant blouse
650,A rather elegant pair of men's blue pantaloons.,10410,True,800.0,4.0,2000,1200.0,Blue elegant legs.png,Blue elegant legs
651,A well made elegant men's blue shirt.,10408,True,800.0,4.0,2000,1200.0,Blue elegant shirt.png,Blue elegant shirt
652,A rather elegant blue skirt.,10430,True,800.0,4.0,2000,1200.0,Blue elegant skirt.png,Blue elegant skirt
653,A cool blue feather.,10089,True,6.0,8000.0,16,9.0,Blue feather.png,Blue feather
654,Makes firelighting a lot easier.,7331,True,6.0,250.0,15,9.0,Blue firelighter.png,Blue firelighter
655,A posy of flowers.,2464,True,40.0,150.0,100,60.0,Blue flowers.png,Blue flowers
656,Aaaarrrghhh ... I'm a monster.,1055,False,6.0,5.0,15,9.0,Blue halloween mask.png,Blue halloween mask
657,A silly blue pointed hat.,660,True,64.0,150.0,160,96.0,Blue hat.png,Blue hat
658,A minimalist's hat.,12301,True,16.0,4.0,40,24.0,Blue headband.png,Blue headband
659,A nice hat from a cracker.,1042,False,1.0,5.0,1,1.0,Blue partyhat.png,Blue partyhat
660,Made by Tree Gnomes with a thing for blue.,650,True,72.0,150.0,180,108.0,Blue robe bottoms.png,Blue robe bottoms
661,"The ultimate in gnome design, now in blue!",640,True,72.0,150.0,180,108.0,Blue robe top.png,Blue robe top
662,Leg covering favoured by women and wizards.,1011,False,1.0,150.0,2,1.0,Blue skirt.png,Blue skirt
663,Leg covering favoured by women and wizards. With a colourful trim!,7386,False,1.0,4.0,2,1.0,Blue skirt (g).png,Blue skirt (g)
664,Leg covering favoured by women and wizards. With a colourful trim!,7388,False,1.0,4.0,2,1.0,Blue skirt (t).png,Blue skirt (t)
665,Vambraces made from 100% real dragonhide. Now with added spikiness.,10081,True,1200.0,125.0,3000,1800.0,Blue spiky vambraces.png,Blue spiky vambraces
666,A silly pointed hat.,579,False,1.0,125.0,2,1.0,Blue wizard hat.png,Blue wizard hat
667,"A silly pointed hat, with colourful trim.",7394,False,1.0,4.0,2,1.0,Blue wizard hat (g).png,Blue wizard hat (g)
668,"A silly pointed hat, with colourful trim.",7396,False,1.0,4.0,2,1.0,Blue wizard hat (t).png,Blue wizard hat (t)
669,I can do magic better in this.,577,False,6.0,125.0,15,9.0,Blue wizard robe.png,Blue wizard robe
670,I can do magic better in this.,7390,False,6.0,4.0,15,9.0,Blue wizard robe (g).png,Blue wizard robe (g)
671,I can do magic better in this.,7392,False,6.0,4.0,15,9.0,Blue wizard robe (t).png,Blue wizard robe (t)
672,A large Bluegill.,22826,True,1.0,13000.0,3,1.0,Bluegill.png,Bluegill
673,Looks good... smells strong.,2064,True,12.0,2000.0,30,18.0,Blurberry special.png,Blurberry special
674,'Bob says: A bank pin will keep your items secure.',10322,True,1.0,4.0,3,1.0,Bob's black shirt.png,Bob's black shirt
675,'Bob says: Always check the second trade screen.',10318,True,1.0,4.0,3,1.0,Bob's blue shirt.png,Bob's blue shirt
676,'Bob says: Never trade in the wilderness!',10320,True,1.0,4.0,3,1.0,Bob's green shirt.png,Bob's green shirt
677,'Bob says: Keep your computer keylogger free and virus scanned.',10324,True,1.0,4.0,3,1.0,Bob's purple shirt.png,Bob's purple shirt
678,'Bob says: Never give your password out to anyone.',10316,True,1.0,4.0,3,1.0,Bob's red shirt.png,Bob's red shirt
679,Used for curse spells.,559,False,1.0,12000.0,3,1.0,Body rune.png,Body rune
680,A mysterious power emanates from the talisman...,1446,False,1.0,11000.0,4,2.0,Body talisman.png,Body talisman
681,A tiara infused with the properties of the body.,5533,False,40.0,40.0,100,60.0,Body tiara.png,Body tiara
682,A mould for creating silver crossbow bolts.,9434,True,10.0,40.0,25,15.0,Bolt mould.png,Bolt mould
683,A bolt of ordinary cloth.,8790,True,200.0,13000.0,500,300.0,Bolt of cloth.png,Bolt of cloth
684,Must need a special type of crossbow to use this.,4740,True,20.0,11000.0,50,30.0,Bolt rack 5.png,Bolt rack
685,Good if you have a bone crossbow!,8882,True,1.0,11000.0,3,1.0,Bone bolts 5.png,Bone bolts
686,Basic but brutal!,5018,True,240.0,4.0,600,360.0,Bone club.png,Bone club
687,A powerful dagger.,8872,True,800.0,70.0,2000,1200.0,Bone dagger.png,Bone dagger
688,A powerful dagger.,8874,True,800.0,70.0,2000,1200.0,Bone dagger (p).png,Bone dagger (p)
689,A powerful dagger.,8876,True,800.0,70.0,2000,1200.0,Bone dagger (p+).png,Bone dagger (p+)
690,A powerful dagger.,8878,True,800.0,70.0,2000,1200.0,Bone dagger (p++).png,Bone dagger (p++)
691,Ground down bone fragments.,25139,False,1.0,100.0,1,1.0,Bone fragments 5.png,Bone fragments
692,Basic but brutal!,5016,True,240.0,4.0,600,360.0,Bone spear.png,Bone spear
693,Bones are for burying!,526,False,1.0,3000.0,1,1.0,Bones.png,Bones
694,A tablet containing a magic spell.,8014,True,1.0,10000.0,1,1.0,Bones to bananas (tablet).png,Bones to bananas (tablet)
695,A tablet containing a magic spell.,8015,True,1.0,10000.0,1,1.0,Bones to peaches (tablet).png,Bones to peaches (tablet)
696,A set containing the four pages of Guthix's Book of Balance.,13153,True,2800.0,5.0,7000,4200.0,Book of balance page set.png,Book of balance page set
697,A set containing the four pages of the Ancient Book of Darkness.,13159,True,3000.0,5.0,7500,4500.0,Book of darkness page set.png,Book of darkness page set
698,A set containing the four pages of Armadyl's Book of Law.,13157,True,3000.0,5.0,7500,4500.0,Book of law page set.png,Book of law page set
699,A set containing the four pages of Bandos' Book of War.,13155,True,3000.0,5.0,7500,4500.0,Book of war page set.png,Book of war page set
700,How does it all fit in there?,8510,True,4.0,500.0,10,6.0,Bookcase (flatpack).png,Bookcase (flatpack)
701,A pair of heat resistant boots charged with the claw of the ferocious Drake.,22951,True,8000.0,70.0,20000,12000.0,Boots of brimstone.png,Boots of brimstone
702,A dark power is woven into these boots.,20140,True,4000.0,70.0,10000,6000.0,Boots of darkness.png,Boots of darkness
703,A pair of heat resistant boots with rocky soles.,23037,True,80.0,125.0,200,120.0,Boots of stone.png,Boots of stone
704,Mmm botanical pie.,19662,True,12.0,10000.0,30,18.0,Botanical pie.png,Botanical pie
705,A very good vintage.,7919,True,200.0,10000.0,500,300.0,Bottle of wine.png,Bottle of wine
706,Several dragonfruit were squeezed into this vial and it has been powered by the fires of Mount Karuulm.,23002,True,200.0,50.0,500,300.0,Bottled dragonbreath.png,Bottled dragonbreath
707,Several dragonfruit were squeezed into this vial.,22999,True,200.0,50.0,500,300.0,Bottled dragonbreath (unpowered).png,Bottled dragonbreath (unpowered)
708,It's a bucket that can hold a lot of compost at once.,22994,True,18000.0,5.0,45000,27000.0,Bottomless compost bucket.png,Bottomless compost bucket
709,A magical elven bow.,25862,True,2000000.0,,5000000,3000000.0,Bow of faerdhinen (inactive).png,Bow of faerdhinen (inactive)
710,I need a bow stave to attach this to.,1777,True,4.0,13000.0,10,6.0,Bow string.png,Bow string
711,Useful for mixing things.,1923,False,1.0,13000.0,4,2.0,Bowl.png,Bowl
712,It's a bowl of hot water.,4456,True,4.0,13000.0,10,6.0,Bowl of hot water.png,Bowl of hot water
713,It's a bowl of water.,1921,False,1.0,13000.0,4,2.0,Bowl of water.png,Bowl of water
714,The bowl wig.,20110,True,1.0,4.0,1,1.0,Bowl wig.png,Bowl wig
715,"If a creature goes inside, the box should then slam shut.",10008,True,12.0,250.0,32,19.0,Box trap.png,Box trap
716,Used to make gold bracelets.,11065,True,2.0,40.0,5,3.0,Bracelet mould.png,Bracelet mould
717,Now I can become a potter.,11074,True,506.0,10000.0,1265,759.0,Bracelet of clay.png,Bracelet of clay
718,The bracelet is dull and powerless.,21817,True,28800.0,10000.0,72000,43200.0,Bracelet of ethereum.png,Bracelet of ethereum (uncharged)
719,Occasionally prevents slayer kill count being decremented.,21183,True,1000.0,10000.0,2500,1500.0,Bracelet of slaughter.png,Bracelet of slaughter
720,A strong spirit best served in a large glass.,2021,True,2.0,13000.0,5,3.0,Brandy.png,Brandy
721,Opens a door that leads into a dungeon.,983,False,1.0,15.0,1,1.0,Brass key.png,Brass key
722,I'd prefer a gold one.,1009,False,12.0,150.0,30,18.0,Brass necklace.png,Brass necklace
723,Nice crispy bread.,2309,False,4.0,6000.0,12,7.0,Bread.png,Bread
724,Some uncooked dough.,2307,False,1.0,13000.0,4,2.0,Bread dough.png,Bread dough
725,For your first day in the big city.,12335,True,266.0,4.0,666,399.0,Briefcase.png,Briefcase
726,A well balanced ring that aids in piercing magic defence.,22975,True,4000.0,8.0,10000,6000.0,Brimstone ring.png,Brimstone ring
727,A salty sword.,11037,True,10400.0,8.0,26000,15600.0,Brine sabre.png,Brine sabre
728,Arrowheads with broad tips.,11874,True,22.0,7000.0,55,33.0,Broad arrowheads 5.png,Broad arrowheads
729,Crossbow bolts with broad tips.,11875,True,22.0,7000.0,55,33.0,Broad bolts 5.png,Broad bolts
730,An orange and bark coloured snail shell helmet.,3335,True,120.0,150.0,300,180.0,Broken bark snelm.png,Broken bark snelm
731,The item to make into a hasta.,22963,True,24960.0,70.0,62400,37440.0,Broken dragon hasta.png,Broken dragon hasta
732,A two handed sword.,1307,False,32.0,125.0,80,48.0,Bronze 2h sword.png,Bronze 2h sword
733,Arrows with bronze heads.,882,False,1.0,7000.0,1,1.0,Bronze arrow 5.png,Bronze arrow
734,Venomous-looking arrows.,883,True,1.0,7000.0,1,1.0,Bronze arrow(p) 5.png,Bronze arrow(p)
735,Venomous-looking arrows.,5616,True,1.0,7000.0,1,1.0,Bronze arrow(p+) 5.png,Bronze arrow(p+)
736,Venomous-looking arrows.,5622,True,1.0,7000.0,1,1.0,Bronze arrow(p++) 5.png,Bronze arrow(p++)
737,I can make some arrows with these.,39,True,1.0,10000.0,1,1.0,Bronze arrowtips.png,Bronze arrowtips
738,A woodcutter's axe.,1351,False,6.0,40.0,16,9.0,Bronze axe.png,Bronze axe
739,It's a bar of bronze.,2349,False,3.0,10000.0,8,4.0,Bronze bar.png,Bronze bar
740,A vicious looking axe.,1375,False,20.0,125.0,52,31.0,Bronze battleaxe.png,Bronze battleaxe
741,Bronze crossbow bolts.,877,False,1.0,7000.0,1,1.0,Bronze bolts 5.png,Bronze bolts
742,Some poisoned bronze bolts.,878,True,1.0,11000.0,1,1.0,Bronze bolts (p) 5.png,Bronze bolts (p)
743,Some poisoned bronze bolts.,6061,True,1.0,11000.0,1,1.0,Bronze bolts (p+) 5.png,Bronze bolts (p+)
744,Super poisoned bronze bolts.,6062,True,1.0,11000.0,1,1.0,Bronze bolts (p++) 5.png,Bronze bolts (p++)
745,Unfeathered bronze crossbow bolts.,9375,True,1.0,13000.0,1,1.0,Bronze bolts (unf) 5.png,Bronze bolts (unf)
746,These will protect my feet.,4119,True,9.0,125.0,24,14.0,Bronze boots.png,Bronze boots
747,Blunt bronze arrow... ouch.,4773,True,2.0,11000.0,5,3.0,Bronze brutal 5.png,Bronze brutal
748,A series of connected metal rings.,1103,False,24.0,125.0,60,36.0,Bronze chainbody.png,Bronze chainbody
749,A set of fighting claws.,3095,True,6.0,125.0,15,9.0,Bronze claws.png,Bronze claws
750,A bronze crossbow.,9174,True,29.0,125.0,73,43.0,Bronze crossbow.png,Bronze crossbow
751,An unstrung bronze crossbow.,9454,True,16.0,10000.0,40,24.0,Bronze crossbow (u).png,Bronze crossbow (u)
752,Short but pointy.,1205,False,4.0,125.0,10,6.0,Bronze dagger.png,Bronze dagger
753,This dagger is poisoned.,1221,True,4.0,125.0,10,6.0,Bronze dagger(p).png,Bronze dagger(p)
754,This dagger is poisoned.,5670,True,4.0,125.0,10,6.0,Bronze dagger(p+).png,Bronze dagger(p+)
755,This dagger is poisoned.,5688,True,4.0,125.0,10,6.0,Bronze dagger(p++).png,Bronze dagger(p++)
756,A deadly throwing dart with a bronze tip.,806,True,1.0,7000.0,1,1.0,Bronze dart.png,Bronze dart
757,A deadly looking dart tip made of bronze - needs feathers for flight.,819,True,1.0,13000.0,1,1.0,Bronze dart tip.png,Bronze dart tip
758,A deadly poisoned dart with a bronze tip.,812,True,1.0,7000.0,1,1.0,Bronze dart(p).png,Bronze dart(p)
759,A deadly poisoned dart with a bronze tip.,5628,True,1.0,7000.0,1,1.0,Bronze dart(p+).png,Bronze dart(p+)
760,A deadly poisoned dart with a bronze tip.,5635,True,1.0,7000.0,1,1.0,Bronze dart(p++).png,Bronze dart(p++)
761,Do I look scary?,12363,True,4000.0,4.0,10000,6000.0,Bronze dragon mask.png,Bronze dragon mask
762,A full face helmet.,1155,False,17.0,125.0,44,26.0,Bronze full helm.png,Bronze full helm
763,Bronze full helm with gold trim.,12211,False,19.0,4.0,48,28.0,Bronze full helm (g).png,Bronze full helm (g)
764,Bronze full helm with trim.,12221,False,19.0,4.0,48,28.0,Bronze full helm (t).png,Bronze full helm (t)
765,"A set containing a full helm, platebody, legs and kiteshield.",12968,False,80.0,8.0,200,120.0,Bronze gold-trimmed set (lg).png,Bronze gold-trimmed set (lg)
766,"A set containing a full helm, platebody, skirt and kiteshield.",12970,False,80.0,8.0,200,120.0,Bronze gold-trimmed set (sk).png,Bronze gold-trimmed set (sk)
767,A bronze halberd.,3190,True,32.0,125.0,80,48.0,Bronze halberd.png,Bronze halberd
768,"A bronze-tipped, one-handed hasta.",11367,True,10.0,125.0,26,15.0,Bronze hasta.png,Bronze hasta
769,"A poison tipped, one-handed bronze hasta.",11379,True,10.0,125.0,26,15.0,Bronze hasta(p).png,Bronze hasta(p)
770,"A poison tipped, one-handed bronze hasta.",11382,True,10.0,125.0,26,15.0,Bronze hasta(p+).png,Bronze hasta(p+)
771,"A poison-tipped, one-handed bronze hasta.",11384,True,10.0,125.0,26,15.0,Bronze hasta(p++).png,Bronze hasta(p++)
772,A bronze tipped javelin.,825,True,1.0,7000.0,4,2.0,Bronze javelin.png,Bronze javelin
773,Needs a shaft.,19570,True,10.0,10000.0,25,15.0,Bronze javelin heads 5.png,Bronze javelin heads
774,A bronze tipped javelin.,831,True,1.0,7000.0,4,2.0,Bronze javelin(p).png,Bronze javelin(p)
775,A bronze tipped javelin.,5642,True,1.0,7000.0,4,2.0,Bronze javelin(p+).png,Bronze javelin(p+)
776,A bronze tipped javelin.,5648,True,1.0,7000.0,4,2.0,Bronze javelin(p++).png,Bronze javelin(p++)
777,A large metal shield.,1189,False,27.0,125.0,68,40.0,Bronze kiteshield.png,Bronze kiteshield
778,Bronze kiteshield with gold trim.,12213,False,25.0,4.0,64,38.0,Bronze kiteshield (g).png,Bronze kiteshield (g)
779,Bronze kiteshield with trim.,12223,False,25.0,4.0,64,38.0,Bronze kiteshield (t).png,Bronze kiteshield (t)
780,A finely balanced throwing knife.,864,True,1.0,7000.0,1,1.0,Bronze knife.png,Bronze knife
781,A finely balanced throwing knife.,870,True,1.0,7000.0,1,1.0,Bronze knife(p).png,Bronze knife(p)
782,A finely balanced throwing knife.,5654,True,1.0,7000.0,1,1.0,Bronze knife(p+).png,Bronze knife(p+)
783,A finely balanced throwing knife.,5661,True,1.0,7000.0,1,1.0,Bronze knife(p++).png,Bronze knife(p++)
784,A pair of bronze crossbow limbs.,9420,True,8.0,10000.0,20,12.0,Bronze limbs.png,Bronze limbs
785,Perhaps someone can do something with this.,25442,True,320.0,8.0,800,480.0,Bronze locks.png,Bronze locks
786,A razor sharp longsword.,1291,False,16.0,125.0,40,24.0,Bronze longsword.png,Bronze longsword
787,A spiky mace.,1422,False,7.0,125.0,18,10.0,Bronze mace.png,Bronze mace
788,A medium sized helmet.,1139,False,9.0,125.0,24,14.0,Bronze med helm.png,Bronze med helm
789,Keeps things in place fairly permanently.,4819,True,1.0,13000.0,2,1.0,Bronze nails.png,Bronze nails
790,Used for mining.,1265,False,1.0,40.0,1,1.0,Bronze pickaxe.png,Bronze pickaxe
791,Provides excellent protection.,1117,False,64.0,125.0,160,96.0,Bronze platebody.png,Bronze platebody
792,Bronze platebody with gold trim.,12205,False,64.0,4.0,160,96.0,Bronze platebody (g).png,Bronze platebody (g)
793,Bronze platebody with trim.,12215,False,64.0,4.0,160,96.0,Bronze platebody (t).png,Bronze platebody (t)
794,These look pretty heavy.,1075,False,32.0,125.0,80,48.0,Bronze platelegs.png,Bronze platelegs
795,Bronze platelegs with gold trim.,12207,False,32.0,4.0,80,48.0,Bronze platelegs (g).png,Bronze platelegs (g)
796,Bronze platelegs with trim.,12217,False,32.0,4.0,80,48.0,Bronze platelegs (t).png,Bronze platelegs (t)
797,Designer leg protection.,1087,False,32.0,125.0,80,48.0,Bronze plateskirt.png,Bronze plateskirt
798,Bronze plateskirt with gold trim.,12209,False,32.0,4.0,80,48.0,Bronze plateskirt (g).png,Bronze plateskirt (g)
799,Bronze plateskirt with trim.,12219,False,32.0,4.0,80,48.0,Bronze plateskirt (t).png,Bronze plateskirt (t)
800,"A vicious, curved sword.",1321,False,12.0,125.0,32,19.0,Bronze scimitar.png,Bronze scimitar
801,"A set containing a full helm, platebody, legs and kiteshield.",12960,False,80.0,8.0,200,120.0,Bronze set (lg).png,Bronze set (lg)
802,"A set containing a full helm, platebody, skirt and kiteshield.",12962,False,80.0,8.0,200,120.0,Bronze set (sk).png,Bronze set (sk)
803,A bronze tipped spear.,1237,True,10.0,125.0,26,15.0,Bronze spear.png,Bronze spear
804,A poisoned bronze tipped spear.,1251,True,10.0,125.0,26,15.0,Bronze spear(p).png,Bronze spear(p)
805,A poisoned bronze tipped spear.,5704,True,10.0,125.0,26,15.0,Bronze spear(p+).png,Bronze spear(p+)
806,A poisoned bronze tipped spear.,5718,True,10.0,125.0,26,15.0,Bronze spear(p++).png,Bronze spear(p++)
807,A medium square shield.,1173,False,19.0,125.0,48,28.0,Bronze sq shield.png,Bronze sq shield
808,A razor sharp sword.,1277,False,10.0,125.0,26,15.0,Bronze sword.png,Bronze sword
809,A finely balanced throwing axe.,800,True,1.0,7000.0,3,1.0,Bronze thrownaxe.png,Bronze thrownaxe
810,"A set containing a full helm, platebody, legs and kiteshield.",12964,False,80.0,8.0,200,120.0,Bronze trimmed set (lg).png,Bronze trimmed set (lg)
811,"A set containing a full helm, platebody, skirt and kiteshield.",12966,False,80.0,8.0,200,120.0,Bronze trimmed set (sk).png,Bronze trimmed set (sk)
812,I don't think it's intended for joinery.,1337,False,18.0,125.0,47,28.0,Bronze warhammer.png,Bronze warhammer
813,Useful for Crafting items.,1794,True,8.0,15.0,20,12.0,Bronze wire.png,Bronze wire
814,A scary broodoo shield.,6259,True,1200.0,125.0,3000,1800.0,Broodoo shield (blue).png,Broodoo shield (10) (blue)
815,A scary broodoo shield.,6215,True,1200.0,125.0,3000,1800.0,Broodoo shield (green).png,Broodoo shield (10) (green)
816,A scary broodoo shield.,6237,True,1200.0,125.0,3000,1800.0,Broodoo shield (orange).png,Broodoo shield (10) (orange)
817,A scary broodoo shield.,6279,True,1200.0,125.0,3000,1800.0,Broodoo shield (blue).png,Broodoo shield (blue)
818,A scary broodoo shield.,6235,True,1200.0,125.0,3000,1800.0,Broodoo shield (green).png,Broodoo shield (green)
819,A scary broodoo shield.,6257,True,1200.0,125.0,3000,1800.0,Broodoo shield (orange).png,Broodoo shield (orange)
820,A mostly clean apron.,1757,False,1.0,40.0,2,1.0,Brown apron.png,Brown apron
821,A minimalist's hat.,2649,True,16.0,4.0,40,24.0,Brown headband.png,Brown headband
822,A brown toy horse.,2520,False,40.0,150.0,100,60.0,Brown toy horsey.png,Brown toy horsey
823,A moody blue pointed snail shell helmet.,3343,True,120.0,150.0,300,180.0,Bruise blue snelm (pointed).png,Bruise blue snelm (pointed)
824,A moody blue snail shell helmet.,3333,True,120.0,150.0,300,180.0,Bruise blue snelm (round).png,Bruise blue snelm (round)
825,Ready to infuse a Battlestaff with the power of Nature.,22372,False,2800.0,100.0,7000,4200.0,Bryophyta's essence.png,Bryophyta's essence
826,"It's a slightly magical stick. All natural, of course.",22368,False,26000.0,8.0,65000,39000.0,Bryophyta's staff (uncharged).png,Bryophyta's staff (uncharged)
827,It's a wooden bucket.,1925,False,1.0,13000.0,2,1.0,Bucket.png,Bucket
828,A helm made from a bucket.,19991,True,5600.0,4.0,14000,8400.0,Bucket helm.png,Bucket helm
829,A helm made from a golden bucket.,20059,True,5600.0,4.0,14000,8400.0,Bucket helm (g).png,Bucket helm (g)
830,It's a bucket of milk.,1927,False,2.0,13000.0,6,3.0,Bucket of milk.png,Bucket of milk
831,One of the ingredients for making glass.,1783,True,1.0,13000.0,2,1.0,Bucket of sand.png,Bucket of sand
832,It's a bucket of sap.,4687,True,12.0,15.0,30,18.0,Bucket of sap.png,Bucket of sap
833,It's a bucket of water.,1929,False,2.0,13000.0,6,3.0,Bucket of water.png,Bucket of water
834,It's a bucket of wax.,30,True,2.0,15.0,6,3.0,Bucket of wax.png,Bucket of wax
835,A sturdy steel lantern.,4548,True,168.0,10000.0,420,252.0,Bullseye lantern.png,Bullseye lantern
836,You need to add lamp oil before you can use it.,4546,True,160.0,10000.0,400,240.0,Bullseye lantern (empty).png,Bullseye lantern (empty)
837,You need to add a lens before you can use it.,4544,True,120.0,10000.0,300,180.0,Bullseye lantern (unf).png,Bullseye lantern (unf)
838,Useful teleports around the wilderness.,21166,True,500.0,10000.0,1250,750.0,Burning amulet.png,Burning amulet(5)
839,Bones are for burying!,528,False,1.0,3000.0,1,1.0,Burnt bones.png,Burnt bones
840,It's still warm to the touch.,20718,True,80.0,11000.0,200,120.0,Burnt page.png,Burnt page
841,It's got little holes in the top.,10012,True,1.0,40.0,1,1.0,Butterfly jar.png,Butterfly jar
842,For catching butterflies...,10010,True,8.0,125.0,20,12.0,Butterfly net.png,Butterfly net
843,Yuck I don't like cabbage.,1965,False,1.0,6000.0,1,1.0,Cabbage.png,Cabbage
844,An adamant shield shaped like a cabbage.,20272,True,1200.0,125.0,3000,1800.0,Cabbage round shield.png,Cabbage round shield
845,A cabbage seed - plant in an allotment.,5324,True,1.0,600.0,3,1.0,Cabbage seed 5.png,Cabbage seed
846,There are 10 cabbages in this sack.,5478,True,1.0,600.0,1,1.0,Cabbages(10).png,Cabbages(10)
847,A Cactus seed - plant in a cactus patch.,5280,True,39.0,200.0,99,59.0,Cactus seed 5.png,Cactus seed
848,Don't prick yourself with this.,6016,True,1.0,11000.0,1,1.0,Cactus spine.png,Cactus spine
849,A powerful herb.,265,True,26.0,11000.0,65,39.0,Cadantine.png,Cadantine
850,I need another ingredient to finish this blood potion.,22443,True,66.0,10000.0,165,99.0,Cadantine blood potion (unf).png,Cadantine blood potion (unf)
851,I need another ingredient to finish this Cadantine potion.,107,True,26.0,10000.0,65,39.0,Cadantine potion (unf).png,Cadantine potion (unf)
852,A cadantine seed - plant in a herb patch.,5301,True,2.0,200.0,7,4.0,Cadantine seed 5.png,Cadantine seed
853,Poisonous berries.,753,False,1.0,600.0,1,1.0,Cadava berries.png,Cadava berries
854,A cadavaberry bush seed - plant in a bush patch.,5102,True,3.0,600.0,9,5.0,Cadavaberry seed 5.png,Cadavaberry seed
855,A plain sponge cake.,1891,False,20.0,6000.0,50,30.0,Cake.png,Cake
856,Useful for baking cakes.,1887,False,4.0,40.0,10,6.0,Cake tin.png,Cake tin
857,A large crystal of calcium carbonate.,21543,True,12.0,13000.0,30,18.0,Calcite.png,Calcite
858,This is the largest fruit I've ever seen.,5980,True,21.0,11000.0,54,32.0,Calquat fruit.png,Calquat fruit
