examine,id,members,lowalch,limit,value,highalch,icon,name
Use on a Bandos godsword to make it look fancier!,20071,True,2000.0,4.0,5000,3000.0,Bandos godsword ornament kit.png,Bandos godsword ornament kit
Brimming with potential.,11812,True,200000.0,10000.0,500000,300000.0,Bandos hilt.png,Bandos hilt
Rune kiteshield in the colours of Bandos.,12488,False,21760.0,8.0,54400,32640.0,Bandos kiteshield.png,Bandos kiteshield
A Bandos mitre.,12271,True,2000.0,8.0,5000,3000.0,Bandos mitre.png,Bandos mitre
This seems to have been torn from a book...,12613,True,160.0,5.0,400,240.0,Bandos page 1.png,Bandos page 1
This seems to have been torn from a book...,12614,True,160.0,5.0,400,240.0,Bandos page 2.png,Bandos page 2
This seems to have been torn from a book...,12615,True,160.0,5.0,400,240.0,Bandos page 3.png,Bandos page 3
This seems to have been torn from a book...,12616,True,160.0,5.0,400,240.0,Bandos page 4.png,Bandos page 4
Rune platebody in the colours of Bandos.,12480,False,26000.0,8.0,65000,39000.0,Bandos platebody.png,Bandos platebody
Rune platelegs in the colours of Bandos.,12482,False,25600.0,8.0,64000,38400.0,Bandos platelegs.png,Bandos platelegs
Rune plateskirt in the colours of Bandos.,12484,False,25600.0,8.0,64000,38400.0,Bandos plateskirt.png,Bandos plateskirt
Leggings from the Bandos Vestments.,12267,True,2800.0,8.0,7000,4200.0,Bandos robe legs.png,Bandos robe legs
Bandos Vestments.,12265,True,2800.0,8.0,7000,4200.0,Bandos robe top.png,Bandos robe top
"A set containing a full helm, platebody, legs and kiteshield.",13056,False,32000.0,8.0,80000,48000.0,Bandos rune armour set (lg).png,Bandos rune armour set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",13058,False,32000.0,8.0,80000,48000.0,Bandos rune armour set (sk).png,Bandos rune armour set (sk)
A Bandos stole.,12269,True,1000.0,8.0,2500,1500.0,Bandos stole.png,Bandos stole
A sturdy pair of tassets.,11834,True,115964.0,8.0,289910,173946.0,Bandos tassets.png,Bandos tassets
High grade material.,26394,True,1.0,,1,1.0,Bandosian components.png,Bandosian components
I can make bolts with these.,47,True,38.0,11000.0,95,57.0,Barb bolttips.png,Barb bolttips
A mighty Hunter weapon. One previous owner.,10129,True,14.0,40.0,36,21.0,Barb-tail harpoon.png,Barb-tail harpoon
A teleport to Barbarian Outpost.,24955,True,1.0,10000.0,1,1.0,Barbarian teleport (tablet).png,Barbarian teleport (tablet)
Great if you have a crossbow!,881,True,80.0,7000.0,200,120.0,Barbed bolts 5.png,Barbed bolts
Bark from a hollow tree.,3239,True,1.0,13000.0,1,1.0,Bark.png,Bark
A handful of Barley.,6006,True,1.0,11000.0,4,2.0,Barley.png,Barley
A handful of barley malt.,6008,True,1.0,11000.0,4,2.0,Barley malt.png,Barley malt
A barley seed - plant in a hops patch.,5305,True,1.0,2000.0,2,1.0,Barley seed 5.png,Barley seed
An empty barrel.,3216,True,1.0,15.0,1,1.0,Barrel.png,Barrel
A teleport to the Barrows.,19629,True,1.0,10000.0,1,1.0,Barrows teleport (tablet).png,Barrows teleport (tablet)
The crushed rock looks like it may react to other materials.,22603,True,12.0,10000.0,30,18.0,Basalt.png,Basalt
The jaw of a Basilisk Knight.,24268,True,200000.0,,500000,300000.0,Basilisk jaw.png,Basilisk jaw
An empty fruit basket.,5376,True,1.0,10000.0,1,1.0,Basket.png,Basket
"Wow, this is a big fish.",365,True,16.0,6000.0,40,24.0,Bass.png,Bass
1 dose of Bastion potion.,22470,True,36.0,2000.0,90,54.0,Bastion potion(1).png,Bastion potion(1)
2 doses of Bastion potion.,22467,True,72.0,2000.0,180,108.0,Bastion potion(2).png,Bastion potion(2)
3 doses of Bastion potion.,22464,True,108.0,2000.0,270,162.0,Bastion potion(3).png,Bastion potion(3)
4 doses of Bastion potion.,22461,True,144.0,2000.0,360,216.0,Bastion potion(4).png,Bastion potion(4)
Ew it's a pile of bones.,530,True,1.0,3000.0,1,1.0,Bat bones.png,Bat bones
A deep tin used for baking gnome battas in.,2164,True,4.0,40.0,10,6.0,Batta tin.png,Batta tin
A teleport to the Kebos Battlefront.,22949,True,1.0,10000.0,1,1.0,Battlefront teleport (tablet).png,Battlefront teleport (tablet)
1 dose of Battlemage potion.,22458,True,36.0,2000.0,90,54.0,Battlemage potion(1).png,Battlemage potion(1)
2 doses of Battlemage potion.,22455,True,72.0,2000.0,180,108.0,Battlemage potion(2).png,Battlemage potion(2)
3 doses of Battlemage potion.,22452,True,108.0,2000.0,270,162.0,Battlemage potion(3).png,Battlemage potion(3)
4 dose of Battlemage potion.,22449,True,144.0,2000.0,360,216.0,Battlemage potion(4).png,Battlemage potion(4)
It's a slightly magical stick.,1391,True,2800.0,11000.0,7000,4200.0,Battlestaff.png,Battlestaff
Weeeeeee!,12245,True,240.0,4.0,600,360.0,Beanie.png,Beanie
Vicious bear slippers.,23291,False,400.0,4.0,1000,600.0,Bear feet.png,Bear feet
This would make warm clothing.,948,False,4.0,18000.0,10,6.0,Bear fur.png,Bear fur
A glass of frothy ale.,1917,False,1.0,2000.0,2,1.0,Beer.png,Beer
How does it all fit in there?,8516,True,4.0,500.0,10,6.0,Beer barrel (flatpack).png,Beer barrel (flatpack)
I need to fill this with beer.,1919,False,1.0,10000.0,2,1.0,Beer glass.png,Beer glass
Frothy and alcoholic.,3803,True,8.0,2000.0,20,12.0,Beer tankard.png,Beer tankard
A beginner level wand.,6908,True,480.0,125.0,1200,720.0,Beginner wand.png,Beginner wand
Also known as Deadly Nightshade - plant in a belladonna patch.,5281,True,70.0,200.0,177,106.0,Belladonna seed 5.png,Belladonna seed
This helmet is worn by berserkers.,3751,True,24000.0,70.0,60000,36000.0,Berserker helm.png,Berserker helm
Makes obsidian weapons even stronger!,11128,True,80800.0,70.0,202000,121200.0,Berserker necklace.png,Berserker necklace
Use on the Berserker necklace to trim it with gold.,23237,True,2000.0,4.0,5000,3000.0,Berserker necklace ornament kit.png,Berserker necklace ornament kit
A ring reputed to bring out a berserk fury in its wearer.,6737,True,4000.0,8.0,10000,6000.0,Berserker ring.png,Berserker ring
Ew it's a pile of bones.,532,False,1.0,3000.0,1,1.0,Big bones.png,Big bones
Useful for catching lots of fish.,305,True,8.0,40.0,20,12.0,Big fishing net.png,Big fishing net
Yarrr!,12355,True,600.0,4.0,1500,900.0,Big pirate hat.png,Big pirate hat
A necklace embedded with mystical power.,5521,True,570.0,10000.0,1425,855.0,Binding necklace.png,Binding necklace
Feed and catch the birds by placing this in the right spot.,21512,True,2.0,250.0,5,3.0,Bird house.png,Bird house
It's an empty bird's nest.,5075,True,181.0,11000.0,453,271.0,Bird nest (empty).png,Bird nest (empty)
A simple bird catcher.,10006,True,2.0,250.0,5,3.0,Bird snare.png,Bird snare
A two handed sword.,1313,False,768.0,125.0,1920,1152.0,Black 2h sword.png,Black 2h sword
A sinister looking axe.,1361,False,153.0,40.0,384,230.0,Black axe.png,Black axe
A vicious looking axe.,1367,False,499.0,125.0,1248,748.0,Black battleaxe.png,Black battleaxe
A small round black bead.,1474,False,1.0,11000.0,4,2.0,Black bead.png,Black bead
Parlez-vous francais?,2635,True,32.0,4.0,80,48.0,Black beret.png,Black beret
Stylish!,7327,True,90.0,4.0,225,135.0,Black boater.png,Black boater
These will protect my feet.,4125,True,230.0,125.0,576,345.0,Black boots.png,Black boots
Blunt black arrow... ouch.,4788,True,14.0,11000.0,35,21.0,Black brutal 5.png,Black brutal
A ruby topped cane.,12375,True,240.0,4.0,600,360.0,Black cane.png,Black cane
A warm black cape.,1019,False,2.0,150.0,7,4.0,Black cape.png,Black cape
All for one and one for all!,2643,True,80.0,4.0,200,120.0,Black cavalier.png,Black cavalier
A series of connected metal rings.,1107,False,576.0,125.0,1440,864.0,Black chainbody.png,Black chainbody
Just plain nasty.,11959,True,96.0,11000.0,240,144.0,Black chinchompa.png,Black chinchompa
A set of fighting claws.,3098,True,144.0,125.0,360,216.0,Black claws.png,Black claws
Made from 100% real dragonhide.,2503,True,5392.0,70.0,13480,8088.0,Black d'hide body.png,Black d'hide body
Made from 100% real dragonhide. With colourful trim!,12381,True,5392.0,8.0,13480,8088.0,Black d'hide body (g).png,Black d'hide body (g)
Made from 100% real dragonhide. With colourful trim!,12385,True,5392.0,8.0,13480,8088.0,Black d'hide body (t).png,Black d'hide body (t)
Made from 100% real dragonhide.,2497,True,2488.0,70.0,6220,3732.0,Black d'hide chaps.png,Black d'hide chaps
Made from 100% real dragonhide. With colourful trim!,12383,True,2488.0,8.0,6220,3732.0,Black d'hide chaps (g).png,Black d'hide chaps (g)
Made from 100% real dragonhide. With colourful trim!,12387,True,2488.0,8.0,6220,3732.0,Black d'hide chaps (t).png,Black d'hide chaps (t)
A solid redwood shield covered in black dragon leather.,22284,True,11333.0,125.0,28334,17000.0,Black d'hide shield.png,Black d'hide shield
Vambraces made from 100% real dragonhide.,2491,True,1728.0,70.0,4320,2592.0,Black d'hide vambraces.png,Black d'hide vambraces
A vicious black dagger.,1217,False,96.0,125.0,240,144.0,Black dagger.png,Black dagger
This dagger is poisoned.,1233,True,96.0,125.0,240,144.0,Black dagger(p).png,Black dagger(p)
This dagger is poisoned.,5682,True,96.0,125.0,240,144.0,Black dagger(p+).png,Black dagger(p+)
This dagger is poisoned.,5700,True,96.0,125.0,240,144.0,Black dagger(p++).png,Black dagger(p++)
A deadly throwing dart with a black tip.,3093,True,1.0,7000.0,1,1.0,Black dart.png,Black dart
A deadly poisoned dart with a black tip.,3094,True,7.0,7000.0,18,10.0,Black dart(p).png,Black dart(p)
A deadly poisoned dart with a black tip.,5631,True,7.0,7000.0,18,10.0,Black dart(p+).png,Black dart(p+)
A deadly poisoned dart with a black tip.,5638,True,7.0,7000.0,18,10.0,Black dart(p++).png,Black dart(p++)
Evil.,20026,True,1600.0,4.0,4000,2400.0,Black demon mask.png,Black demon mask
A desert robe stained black.,6752,True,12.0,15.0,30,18.0,Black desert robe.png,Black desert robe
A desert shirt stained black.,6750,True,16.0,15.0,40,24.0,Black desert shirt.png,Black desert shirt
It's a piece of prepared black dragonhide.,2509,True,44.0,11000.0,110,66.0,Black dragon leather.png,Black dragon leather
Do I look scary?,12524,True,4000.0,4.0,10000,6000.0,Black dragon mask.png,Black dragon mask
The scaly rough hide from a Black Dragon.,1747,True,60.0,11000.0,150,90.0,Black dragonhide.png,Black dragonhide
"A set containing a black dragonhide body, chaps and vambraces.",12871,True,2000.0,70.0,5000,3000.0,Black dragonhide set.png,Black dragonhide set
A rather elegant pair of men's black pantaloons.,10402,True,800.0,4.0,2000,1200.0,Black elegant legs.png,Black elegant legs
A well made elegant men's black shirt.,10400,True,800.0,4.0,2000,1200.0,Black elegant shirt.png,Black elegant shirt
A posy of flowers.,2476,True,40.0,150.0,100,60.0,Black flowers.png,Black flowers
A full face helmet.,1165,False,422.0,125.0,1056,633.0,Black full helm.png,Black full helm
Black full helmet with gold trim.,2595,False,422.0,8.0,1056,633.0,Black full helm (g).png,Black full helm (g)
Black full helmet with trim.,2587,False,422.0,8.0,1056,633.0,Black full helm (t).png,Black full helm (t)
"A set containing a full helm, platebody, legs and kiteshield.",12996,False,1800.0,8.0,4500,2700.0,Black gold-trimmed set (lg).png,Black gold-trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12998,False,1800.0,8.0,4500,2700.0,Black gold-trimmed set (sk).png,Black gold-trimmed set (sk)
A black halberd.,3196,True,768.0,125.0,1920,1152.0,Black halberd.png,Black halberd
A minimalist's hat.,2647,True,16.0,4.0,40,24.0,Black headband.png,Black headband
A black helmet with a heraldic design.,10306,False,422.0,70.0,1056,633.0,Black helm (h1).png,Black helm (h1)
A black helmet with a heraldic design.,10308,False,422.0,70.0,1056,633.0,Black helm (h2).png,Black helm (h2)
A black helmet with a heraldic design.,10310,False,422.0,70.0,1056,633.0,Black helm (h3).png,Black helm (h3)
A black helmet with a heraldic design.,10312,False,422.0,70.0,1056,633.0,Black helm (h4).png,Black helm (h4)
A black helmet with a heraldic design.,10314,False,422.0,70.0,1056,633.0,Black helm (h5).png,Black helm (h5)
A large metal shield.,1195,False,652.0,125.0,1632,979.0,Black kiteshield.png,Black kiteshield
Black kiteshield with gold trim.,2597,False,652.0,8.0,1632,979.0,Black kiteshield (g).png,Black kiteshield (g)
Black kiteshield with trim.,2589,False,652.0,8.0,1632,979.0,Black kiteshield (t).png,Black kiteshield (t)
A finely balanced throwing knife.,869,True,7.0,7000.0,19,11.0,Black knife.png,Black knife
A finely balanced throwing knife.,874,True,7.0,7000.0,18,10.0,Black knife(p).png,Black knife(p)
A finely balanced throwing knife.,5658,True,7.0,7000.0,18,10.0,Black knife(p+).png,Black knife(p+)
A finely balanced throwing knife.,5665,True,7.0,7000.0,18,10.0,Black knife(p++).png,Black knife(p++)
"Try as they will, and try as they might, who steals me gold won't live through the night.",20246,True,2000.0,4.0,5000,3000.0,Black leprechaun hat.png,Black leprechaun hat
Perhaps someone can do something with this.,25448,True,1280.0,8.0,3200,1920.0,Black locks.png,Black locks
A razor sharp longsword.,1297,False,384.0,125.0,960,576.0,Black longsword.png,Black longsword
A spiky mace.,1426,False,172.0,125.0,432,259.0,Black mace.png,Black mace
An inert-seeming cave horror mask.,8921,True,1200.0,70.0,3000,1800.0,Black mask.png,Black mask
A magic cave horror mask.,8901,True,1200.0,70.0,3000,1800.0,Black mask (10).png,Black mask (10)
A medium sized helmet.,1151,False,230.0,125.0,576,345.0,Black med helm.png,Black med helm
Keeps things in place fairly permanently.,4821,True,4.0,13000.0,12,7.0,Black nails.png,Black nails
Used for mining.,12297,False,58.0,4.0,145,87.0,Black pickaxe.png,Black pickaxe
Provides excellent protection.,1125,False,1536.0,125.0,3840,2304.0,Black platebody.png,Black platebody
Black platebody with gold trim.,2591,False,1536.0,8.0,3840,2304.0,Black platebody (g).png,Black platebody (g)
Black plate body with a heraldic design.,23366,False,1536.0,70.0,3840,2304.0,Black platebody (h1).png,Black platebody (h1)
Black plate body with a heraldic design.,23369,False,1536.0,70.0,3840,2304.0,Black platebody (h2).png,Black platebody (h2)
Black plate body with a heraldic design.,23372,False,1536.0,70.0,3840,2304.0,Black platebody (h3).png,Black platebody (h3)
Black plate body with a heraldic design.,23375,False,1536.0,70.0,3840,2304.0,Black platebody (h4).png,Black platebody (h4)
Black plate body with a heraldic design.,23378,False,1536.0,70.0,3840,2304.0,Black platebody (h5).png,Black platebody (h5)
Black platebody with trim.,2583,False,1536.0,8.0,3840,2304.0,Black platebody (t).png,Black platebody (t)
"Big, black and heavy looking.",1077,False,768.0,125.0,1920,1152.0,Black platelegs.png,Black platelegs
Black platelegs with gold trim.,2593,False,768.0,8.0,1920,1152.0,Black platelegs (g).png,Black platelegs (g)
Black platelegs with trim.,2585,False,768.0,8.0,1920,1152.0,Black platelegs (t).png,Black platelegs (t)
"Big, black and heavy looking.",1089,False,768.0,125.0,1920,1152.0,Black plateskirt.png,Black plateskirt
Black plateskirt with gold trim.,3473,False,768.0,8.0,1920,1152.0,Black plateskirt (g).png,Black plateskirt (g)
Black plateskirt with trim.,3472,False,768.0,8.0,1920,1152.0,Black plateskirt (t).png,Black plateskirt (t)
I can do magic better in this.,581,False,5.0,125.0,13,7.0,Black robe.png,Black robe
Slightly slimy and somewhat menacing.,10148,True,80.0,125.0,200,120.0,Black salamander.png,Black salamander
"A vicious, curved sword.",1327,False,307.0,125.0,768,460.0,Black scimitar.png,Black scimitar
"A set containing a full helm, platebody, legs and kiteshield.",12988,False,1800.0,8.0,4500,2700.0,Black set (lg).png,Black set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12990,False,1800.0,8.0,4500,2700.0,Black set (sk).png,Black set (sk)
A shield with a heraldic design,7332,False,652.0,70.0,1632,979.0,Black shield (h1).png,Black shield (h1)
A shield with a heraldic design,7338,False,652.0,70.0,1632,979.0,Black shield (h2).png,Black shield (h2)
A shield with a heraldic design,7344,False,652.0,70.0,1632,979.0,Black shield (h3).png,Black shield (h3)
A shield with a heraldic design,7350,False,652.0,70.0,1632,979.0,Black shield (h4).png,Black shield (h4)
A shield with a heraldic design,7356,False,652.0,70.0,1632,979.0,Black shield (h5).png,Black shield (h5)
Clothing favoured by women and dark wizards.,1015,False,1.0,150.0,2,1.0,Black skirt.png,Black skirt
Leg covering favoured by women and wizards. With a colourful trim!,12445,False,1.0,4.0,2,1.0,Black skirt (g).png,Black skirt (g)
Leg covering favoured by women and wizards. With a colourful trim!,12447,False,1.0,4.0,2,1.0,Black skirt (t).png,Black skirt (t)
A black tipped spear.,4580,True,260.0,8.0,650,390.0,Black spear.png,Black spear
A poisoned black tipped spear.,4582,True,300.0,8.0,750,450.0,Black spear(p).png,Black spear(p)
A poisoned black tipped spear.,5734,True,300.0,8.0,750,450.0,Black spear(p+).png,Black spear(p+)
A poisoned black tipped spear.,5736,True,300.0,8.0,750,450.0,Black spear(p++).png,Black spear(p++)
Vambraces made from 100% real dragonhide. Now with added spikiness.,10085,True,1728.0,125.0,4320,2592.0,Black spiky vambraces.png,Black spiky vambraces
A medium square shield.,1179,False,460.0,125.0,1152,691.0,Black sq shield.png,Black sq shield
A razor sharp sword.,1283,False,249.0,125.0,624,374.0,Black sword.png,Black sword
The blackened heart of the Grotesque Guardians.,21730,True,16600.0,5.0,41500,24900.0,Black tourmaline core.png,Black tourmaline core
A black toy horse.,2524,False,40.0,150.0,100,60.0,Black toy horsey.png,Black toy horsey
"A set containing a full helm, platebody, legs and kiteshield.",12992,False,1800.0,8.0,4500,2700.0,Black trimmed set (lg).png,Black trimmed set (lg)
"A set containing a full helm, platebody, skirt and kiteshield.",12994,False,1800.0,8.0,4500,2700.0,Black trimmed set (sk).png,Black trimmed set (sk)
Pointy shadows.,20266,True,400.0,4.0,1000,600.0,Black unicorn mask.png,Black unicorn mask
I don't think it's intended for joinery.,1341,False,392.0,125.0,980,588.0,Black warhammer.png,Black warhammer
There's a black warlock butterfly in here.,10014,True,28.0,125.0,70,42.0,Black warlock (item).png,Black warlock (item)
"A silly pointed hat, with colourful trim.",12453,False,1.0,4.0,2,1.0,Black wizard hat (g).png,Black wizard hat (g)
"A silly pointed hat, with colourful trim.",12455,False,1.0,4.0,2,1.0,Black wizard hat (t).png,Black wizard hat (t)
I can do magic better in this.,12449,False,6.0,4.0,15,9.0,Black wizard robe (g).png,Black wizard robe (g)
I can do magic better in this.,12451,False,6.0,4.0,15,9.0,Black wizard robe (t).png,Black wizard robe (t)
A helm worn by blacksmiths.,19988,True,1200.0,125.0,3000,1800.0,Blacksmith's helm.png,Blacksmith's helm
A magical elven sword.,23997,True,2000000.0,8.0,5000000,3000000.0,Blade of saeldor (inactive).png,Blade of saeldor (inactive)
"A large bark coloured blamish snail shell, looks protective.",3353,True,60.0,13000.0,150,90.0,Blamish bark shell.png,Blamish bark shell
"A large blue coloured blamish snail shell, looks protective.",3361,True,60.0,13000.0,150,90.0,Blamish blue shell (pointed).png,Blamish blue shell (pointed)
"A large blue coloured blamish snail shell, looks protective.",3351,True,60.0,13000.0,150,90.0,Blamish blue shell (round).png,Blamish blue shell (round)
"A large 'Myre' coloured blamish snail shell, looks protective.",3355,True,60.0,13000.0,150,90.0,Blamish myre shell (pointed).png,Blamish myre shell (pointed)
"A large 'Myre' coloured blamish snail shell, looks protective.",3345,True,60.0,13000.0,150,90.0,Blamish myre shell (round).png,Blamish myre shell (round)
"A large ochre coloured blamish snail shell, looks protective.",3359,True,60.0,13000.0,150,90.0,Blamish ochre shell (pointed).png,Blamish ochre shell (pointed)
"A large ochre coloured blamish snail shell, looks protective.",3349,True,60.0,13000.0,150,90.0,Blamish ochre shell (round).png,Blamish ochre shell (round)
"A large red and black blamish snail shell, looks protective.",3357,True,60.0,13000.0,150,90.0,Blamish red shell (pointed).png,Blamish red shell (pointed)
"A large red and black blamish snail shell, looks protective.",3347,True,60.0,13000.0,150,90.0,Blamish red shell (round).png,Blamish red shell (round)
An ethereal shield that has been blessed with holy powers.,12831,True,480000.0,8.0,1200000,720000.0,Blessed spirit shield.png,Blessed spirit shield
"Enough power for any Ice spell, blighted so it can be used only in the Wilderness.",24607,True,1.0,10000.0,1,1.0,Blighted ancient ice sack.png,Blighted ancient ice sack
"An unappetising fish, now blighted so it can be eaten only in the Wilderness.",24592,True,1.0,,1,1.0,Blighted anglerfish.png,Blighted anglerfish
"Enough power for a Bind, blighted so it can be used only in the Wilderness.",24609,True,1.0,10000.0,1,1.0,Blighted bind sack.png,Blighted bind sack
"Enough power for an Entangle, blighted so it can be used only in the Wilderness.",24613,True,1.0,10000.0,1,1.0,Blighted entangle sack.png,Blighted entangle sack
"A nutritious octopus, now blighted so it can be eaten only in the Wilderness.",24595,True,1.0,,1,1.0,Blighted karambwan.png,Blighted karambwan
"A rare catch, now blighted so it can be eaten only in the Wilderness.",24589,True,1.0,12000.0,1,1.0,Blighted manta ray.png,Blighted manta ray
"Enough power for a Snare, blighted so it can be used only in the Wilderness.",24611,True,1.0,10000.0,1,1.0,Blighted snare sack.png,Blighted snare sack
"4 doses of super restore potion, blighted so it can be used only in the Wilderness.",24598,True,1.0,2000.0,1,1.0,Blighted super restore(4).png,Blighted super restore(4)
"Enough power for a Teleblock or a Teleport to Target, blighted so it can be used only in the Wilderness.",24615,True,1.0,10000.0,1,1.0,Blighted teleport spell sack.png,Blighted teleport spell sack
"Enough power for a Vengeance, blighted so it can be used only in the Wilderness.",24621,True,1.0,10000.0,1,1.0,Blighted vengeance sack.png,Blighted vengeance sack
A blood-filled essence with magical properties.,26390,True,40000.0,500.0,100000,60000.0,Blood essence.png,Blood essence
It's literally a pint of blood.,24774,True,1.0,2000.0,1,1.0,Blood pint.png,Blood pint
Used for high level missile spells.,565,True,160.0,25000.0,400,240.0,Blood rune.png,Blood rune
A magical shard filled with a dark power.,24777,True,1.0,8.0,1,1.0,Blood shard.png,Blood shard
A red and black pointed snail shell helmet.,3339,True,120.0,150.0,300,180.0,Blood'n'tar snelm (pointed).png,Blood'n'tar snelm (pointed)
A red and black Snail shell helmet.,3329,True,120.0,150.0,300,180.0,Blood'n'tar snelm (round).png,Blood'n'tar snelm (round)
Keeps my chest protected.,25404,True,1.0,,1,1.0,Bloodbark body.png,Bloodbark body
Great foot protection.,25410,True,1.0,,1,1.0,Bloodbark boots.png,Bloodbark boots
Thse should protect my hands.,25407,True,1.0,,1,1.0,Bloodbark gauntlets.png,Bloodbark gauntlets
A rather interesting smelling helmet.,25413,True,1.0,,1,1.0,Bloodbark helm.png,Bloodbark helm
Strong leg protection.,25416,True,1.0,,1,1.0,Bloodbark legs.png,Bloodbark legs
A coagulated concoction.,22430,True,1.0,2000.0,2,1.0,Bloody bracer.png,Bloody bracer
Parlez-vous francais?,2633,True,32.0,4.0,80,48.0,Blue beret.png,Blue beret
Stylish!,7325,True,90.0,4.0,225,135.0,Blue boater.png,Blue boater
"They're soft, silky and blue.",630,True,80.0,150.0,200,120.0,Blue boots.png,Blue boots
A thick blue cape.,1021,False,12.0,150.0,32,19.0,Blue cape.png,Blue cape
Made from 100% real dragonhide.,2499,True,3744.0,125.0,9360,5616.0,Blue d'hide body.png,Blue d'hide body
Made from 100% real dragonhide. With colourful trim!,7374,True,3744.0,8.0,9360,5616.0,Blue d'hide body (g).png,Blue d'hide body (g)
Made from 100% real dragonhide. With colourful trim!,7376,True,3744.0,8.0,9360,5616.0,Blue d'hide body (t).png,Blue d'hide body (t)
Made from 100% real dragonhide.,2493,True,1728.0,125.0,4320,2592.0,Blue d'hide chaps.png,Blue d'hide chaps
Made from 100% real dragonhide. With colourful trim!,7382,True,1728.0,8.0,4320,2592.0,Blue d'hide chaps (g).png,Blue d'hide chaps (g)
Made from 100% real dragonhide. With colourful trim!,7384,True,1728.0,8.0,4320,2592.0,Blue d'hide chaps (t).png,Blue d'hide chaps (t)
A solid yew shield covered in blue dragon leather.,22278,True,3000.0,125.0,7500,4500.0,Blue d'hide shield.png,Blue d'hide shield
Vambraces made from 100% real dragonhide.,2487,True,1200.0,125.0,3000,1800.0,Blue d'hide vambraces.png,Blue d'hide vambraces
Paints things blue!,12757,True,1.0,4.0,1,1.0,Blue dark bow paint.png,Blue dark bow paint
It's a piece of prepared blue dragonhide.,2505,True,28.0,13000.0,70,42.0,Blue dragon leather.png,Blue dragon leather
Do I look scary?,12520,True,4000.0,4.0,10000,6000.0,Blue dragon mask.png,Blue dragon mask
A large shiny scale.,243,True,20.0,13000.0,50,30.0,Blue dragon scale.png,Blue dragon scale
The scaly rough hide from a Blue Dragon.,1751,True,56.0,13000.0,140,84.0,Blue dragonhide.png,Blue dragonhide
"A set containing a blue dragonhide body, chaps and vambraces.",12867,True,2000.0,125.0,5000,3000.0,Blue dragonhide set.png,Blue dragonhide set
A little bottle of blue dye.,1767,False,2.0,150.0,5,3.0,Blue dye.png,Blue dye
A well made elegant ladies' blue blouse.,10428,True,800.0,4.0,2000,1200.0,Blue elegant blouse.png,Blue elegant blouse
A rather elegant pair of men's blue pantaloons.,10410,True,800.0,4.0,2000,1200.0,Blue elegant legs.png,Blue elegant legs
A well made elegant men's blue shirt.,10408,True,800.0,4.0,2000,1200.0,Blue elegant shirt.png,Blue elegant shirt
A rather elegant blue skirt.,10430,True,800.0,4.0,2000,1200.0,Blue elegant skirt.png,Blue elegant skirt
A cool blue feather.,10089,True,6.0,8000.0,16,9.0,Blue feather.png,Blue feather
Makes firelighting a lot easier.,7331,True,6.0,250.0,15,9.0,Blue firelighter.png,Blue firelighter
A posy of flowers.,2464,True,40.0,150.0,100,60.0,Blue flowers.png,Blue flowers
Aaaarrrghhh ... I'm a monster.,1055,False,6.0,5.0,15,9.0,Blue halloween mask.png,Blue halloween mask
A silly blue pointed hat.,660,True,64.0,150.0,160,96.0,Blue hat.png,Blue hat
A minimalist's hat.,12301,True,16.0,4.0,40,24.0,Blue headband.png,Blue headband
A nice hat from a cracker.,1042,False,1.0,5.0,1,1.0,Blue partyhat.png,Blue partyhat
Made by Tree Gnomes with a thing for blue.,650,True,72.0,150.0,180,108.0,Blue robe bottoms.png,Blue robe bottoms
"The ultimate in gnome design, now in blue!",640,True,72.0,150.0,180,108.0,Blue robe top.png,Blue robe top
Leg covering favoured by women and wizards.,1011,False,1.0,150.0,2,1.0,Blue skirt.png,Blue skirt
Leg covering favoured by women and wizards. With a colourful trim!,7386,False,1.0,4.0,2,1.0,Blue skirt (g).png,Blue skirt (g)
Leg covering favoured by women and wizards. With a colourful trim!,7388,False,1.0,4.0,2,1.0,Blue skirt (t).png,Blue skirt (t)
Vambraces made from 100% real dragonhide. Now with added spikiness.,10081,True,1200.0,125.0,3000,1800.0,Blue spiky vambraces.png,Blue spiky vambraces
A silly pointed hat.,579,False,1.0,125.0,2,1.0,Blue wizard hat.png,Blue wizard hat
"A silly pointed hat, with colourful trim.",7394,False,1.0,4.0,2,1.0,Blue wizard hat (g).png,Blue wizard hat (g)
"A silly pointed hat, with colourful trim.",7396,False,1.0,4.0,2,1.0,Blue wizard hat (t).png,Blue wizard hat (t)
I can do magic better in this.,577,False,6.0,125.0,15,9.0,Blue wizard robe.png,Blue wizard robe
I can do magic better in this.,7390,False,6.0,4.0,15,9.0,Blue wizard robe (g).png,Blue wizard robe (g)
I can do magic better in this.,7392,False,6.0,4.0,15,9.0,Blue wizard robe (t).png,Blue wizard robe (t)
A large Bluegill.,22826,True,1.0,13000.0,3,1.0,Bluegill.png,Bluegill
Looks good... smells strong.,2064,True,12.0,2000.0,30,18.0,Blurberry special.png,Blurberry special
'Bob says: A bank pin will keep your items secure.',10322,True,1.0,4.0,3,1.0,Bob's black shirt.png,Bob's black shirt
'Bob says: Always check the second trade screen.',10318,True,1.0,4.0,3,1.0,Bob's blue shirt.png,Bob's blue shirt
